# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.handle.before.change.events.ms,1784462526344000000,1784462537615000000,0
jps.library.entities.serializer.save.entities.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1784462526344000000,1784462537615000000,0
workspaceModel.sync.entities.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1784462526344000000,1784462537615000000,0
workspaceModel.load.cache.from.file.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1784462526344000000,1784462537615000000,0
jps.global.initialize.library.bridges.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1784462526344000000,1784462537615000000,0
jps.global.handle.changed.events.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1784462526344000000,1784462537615000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1784462526344000000,1784462537615000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1784462526344000000,1784462537615000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1784462526344000000,1784462537615000000,0
jps.global.get.libraries.ms,1784462526344000000,1784462537615000000,0
jps.library.entities.serializer.load.entities.ms,1784462526344000000,1784462537615000000,0
workspaceModel.load.cache.metadata.from.file.ms,1784462526344000000,1784462537615000000,0
VFS.fileChildByName,1784462526344000000,1784462537615000000,10
VFS.fileByIdCache.misses,1784462526344000000,1784462537615000000,0
VFS.fileByIdCache.hits,1784462526344000000,1784462537615000000,0
VFS.invertedFileNameIndex.requests,1784462526344000000,1784462537615000000,0
